Date,Open,High,Low,Close
"2018-06-28 04:29:00",6086.5,6086.5,6086.5,6086.5
"2018-06-28 04:30:00",6086.4,6086.6,6086.4,6086.4
"2018-06-28 04:31:00",6086.5,6086.5,6086.5,6086.5
"2018-06-28 04:32:00",6086.5,6096,6086.5,6096
"2018-06-28 04:33:00",6096.1,6102.5,6096,6102.5
"2018-06-28 04:34:00",6102.5,6102.5,6102.4,6102.4
"2018-06-28 04:35:00",6102.4,6102.5,6097.8,6102.4
"2018-06-28 04:36:00",6102.5,6102.5,6101.1,6101.1
"2018-06-28 04:37:00",6102.4,6102.4,6097.2,6097.2
"2018-06-28 04:38:00",6096.5,6100.1,6095.9,6095.9
"2018-06-28 04:39:00",6099.5,6099.5,6097.5,6098.1
"2018-06-28 04:40:00",6098.1,6098.1,6098.1,6098.1
"2018-06-28 04:41:00",6102,6102.1,6102,6102.1
"2018-06-28 04:42:00",6102.1,6102.1,6097.9,6097.9
"2018-06-28 04:43:00",6097.9,6098.5,6095.1,6095.1
"2018-06-28 04:44:00",6095.1,6095.1,6093.5,6095.1
"2018-06-28 04:45:00",6095,6095.6,6095,6095.6
"2018-06-28 04:46:00",6095.1,6095.1,6095,6095
"2018-06-28 04:47:00",6095.1,6095.2,6095.1,6095.1
"2018-06-28 04:48:00",6095.2,6095.6,6095.2,6095.6
"2018-06-28 04:49:00",6095.7,6095.7,6095.6,6095.6
"2018-06-28 04:50:00",6096.9,6096.9,6095.6,6095.6
"2018-06-28 04:51:00",6096.9,6098,6095.7,6098
"2018-06-28 04:52:00",6098,6099.9,6096.9,6099.9
"2018-06-28 04:53:00",6099.5,6100.3,6097,6100.2
"2018-06-28 04:54:00",6100.2,6100.2,6100.2,6100.2
"2018-06-28 04:55:00",6100.3,6100.3,6100.3,6100.3
"2018-06-28 04:56:00",6100.3,6102.3,6100.2,6102.3
"2018-06-28 04:57:00",6102.3,6105.1,6098.1,6105.1
"2018-06-28 04:58:00",6105.1,6112.99808886,6105.1,6107.1
"2018-06-28 04:59:00",6108.2,6108.2,6106.9,6106.9
"2018-06-28 05:00:00",6106.3,6106.4,6106,6106.1
"2018-06-28 05:01:00",6106.3,6106.4,6105.2,6106.3
"2018-06-28 05:02:00",6106.4,6106.4,6105.2,6106.4
"2018-06-28 05:03:00",6106.4,6106.4,6105.3,6106.1
"2018-06-28 05:04:00",6106,6106,6103.5,6103.5
"2018-06-28 05:05:00",6103.4,6105.3,6102.1,6102.1
"2018-06-28 05:06:00",6102.1,6105.2,6102,6102.6
"2018-06-28 05:07:00",6102.6,6102.9,6102.6,6102.9
"2018-06-28 05:08:00",6102,6102.8,6102,6102.8
"2018-06-28 05:09:00",6102.6,6102.6,6102,6102
"2018-06-28 05:10:00",6102.5,6102.5,6102.5,6102.5
"2018-06-28 05:11:00",6102.3,6102.3,6100.3,6100.3
"2018-06-28 05:12:00",6102.6,6102.6,6102.5,6102.5
"2018-06-28 05:13:00",6102.5,6102.5,6102.5,6102.5
"2018-06-28 05:14:00",6102.5,6102.5,6102.3,6102.3
"2018-06-28 05:15:00",6102.3,6102.4,6102.3,6102.4
"2018-06-28 05:16:00",6102.1,6102.1,6102.1,6102.1
"2018-06-28 05:17:00",6102.31265405,6102.9,6102.31265405,6102.31265405
"2018-06-28 05:18:00",6102.3,6102.4,6102.3,6102.4
"2018-06-28 05:19:00",6102.4,6108.7,6102.4,6107.4
"2018-06-28 05:20:00",6105.4,6105.4,6101.7,6101.7
"2018-06-28 05:21:00",6105,6105.1,6105,6105.1
"2018-06-28 05:22:00",6108.1,6114,6108.1,6112.7
"2018-06-28 05:23:00",6112.5,6112.5,6103.2,6112.4
"2018-06-28 05:24:00",6112.5,6112.5,6112.4,6112.4
"2018-06-28 05:25:00",6105.2,6112.5,6105.2,6112.5
"2018-06-28 05:26:00",6112.4,6112.4,6112.3,6112.3
"2018-06-28 05:27:00",6112.3,6112.4,6112.3,6112.4
"2018-06-28 05:28:00",6112.3,6112.3,6105.2,6105.6
"2018-06-28 05:29:00",6105.1,6105.1,6102,6102
"2018-06-28 05:30:00",6103.2,6103.2,6101.3,6102
"2018-06-28 05:31:00",6101.08499451,6105.08932199,6101.02625267,6105.08932199
"2018-06-28 05:32:00",6105.08932199,6105.08932199,6105.08932199,6105.08932199
"2018-06-28 05:33:00",6105.1,6105.1,6103.2,6105.03138884
"2018-06-28 05:34:00",6105.03138884,6105.1,6105.03138884,6105.03138884
"2018-06-28 05:35:00",6102.7,6102.7,6101.49277205,6101.5
"2018-06-28 05:36:00",6101.49277205,6101.5,6100,6101.5
"2018-06-28 05:37:00",6101.49277205,6101.5,6101.49277205,6101.5
"2018-06-28 05:38:00",6100.7,6101.5,6100.7,6101.5
"2018-06-28 05:39:00",6101.5,6101.5,6101.1,6101.5
"2018-06-28 05:40:00",6101.5,6101.5,6101.5,6101.5
"2018-06-28 05:41:00",6101.8,6102.4,6101.5,6101.5
"2018-06-28 05:42:00",6101.6,6101.8,6100.9,6100.9
"2018-06-28 05:43:00",6102.5,6102.5,6101.8,6101.8
"2018-06-28 05:44:00",6101.8,6102.5,6101.4,6102.5
"2018-06-28 05:45:00",6101.1,6105.1,6101.1,6105
"2018-06-28 05:46:00",6105.1,6110.8,6101.2,6108.9
"2018-06-28 05:47:00",6109.6,6110.9,6101.7,6101.8
"2018-06-28 05:48:00",6110.5,6110.6,6102.3,6110.5
"2018-06-28 05:49:00",6110.5,6113,6102.3,6113
"2018-06-28 05:50:00",6113,6113.1,6102.4,6102.4
"2018-06-28 05:51:00",6113.1,6113.1,6113,6113
"2018-06-28 05:52:00",6113,6113,6103.1,6112.2
"2018-06-28 05:53:00",6112.2,6112.2,6106.4,6111
"2018-06-28 05:54:00",6110.9,6111,6110.9,6110.9
"2018-06-28 05:55:00",6111,6115.6,6109,6115.6
"2018-06-28 05:56:00",6115.62819864,6119.9,6109,6118.6
"2018-06-28 05:57:00",6118.51636202,6118.51636202,6115.6,6115.6
"2018-06-28 05:58:00",6115.6,6115.7,6108.9,6115.7
"2018-06-28 05:59:00",6115.6,6119.2,6115.6,6118.5
"2018-06-28 06:00:00",6121.1,6121.1,6112.2,6117.2
"2018-06-28 06:01:00",6117.1,6117.1,6111,6115.7
"2018-06-28 06:02:00",6115.6,6115.6,6115.6,6115.6
"2018-06-28 06:03:00",6115.6,6115.6,6110.4,6115.6
"2018-06-28 06:04:00",6115.7,6115.7,6115.6,6115.6
"2018-06-28 06:05:00",6115.7,6115.7,6115.6,6115.6
"2018-06-28 06:06:00",6115.6,6115.6,6115.6,6115.6
"2018-06-28 06:07:00",6115.6,6115.6,6115.6,6115.6
"2018-06-28 06:08:00",6115.6,6115.6,6110.1,6115
"2018-06-28 06:09:00",6115,6115.1,6115,6115.1
"2018-06-28 06:10:00",6115,6115.1,6115,6115
"2018-06-28 06:11:00",6115.1,6118,6115,6115
"2018-06-28 06:12:00",6115,6115.1,6115,6115
"2018-06-28 06:13:00",6115.1,6115.3,6115.1,6115.2
"2018-06-28 06:14:00",6115.1,6115.1,6115.1,6115.1
